date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-07-05,0.580969,0.5117291757453197,0.411,141.8844,142.5736,"Jul 5, 17",140.539,141.4905,21569557,21569557,141.7369
2017-07-06,-1.3392,0.4974604632430422,-0.944,140.5452,141.3034,"Jul 6, 17",140.2301,140.8307,24128782,24128782,140.6481
2017-07-07,1.4278,0.51267317808082,1.016,141.973,142.5343,"Jul 7, 17",140.7126,140.7126,19201712,19201712,141.8593
2017-07-10,0.866529,0.5219054356847798,0.61,142.8395,143.7159,"Jul 10, 17",141.1754,141.9041,21090636,21090636,142.6839
2017-07-11,0.462805,0.5268364095094917,0.324,143.3023,143.6174,"Jul 11, 17",142.1699,142.5146,19781836,19781836,142.9815
2017-07-12,0.206786,0.5290397919359185,0.144,143.5091,143.9424,"Jul 12, 17",142.6032,143.6371,24884478,24884478,143.2288
2017-07-13,1.9989,0.5503373796157294,1.393,145.508,146.217,"Jul 13, 17",143.2137,143.2728,25199373,25199373,145.2163
2017-07-14,1.2506,0.5636620897825065,0.859,146.7586,147.0441,"Jul 14, 17",145.0748,145.705,20132061,20132061,146.1471
2017-07-17,0.512039,0.5691172725790762,0.349,147.2706,148.5901,"Jul 17, 17",146.2958,146.542,23793456,23793456,147.5807
2017-07-18,0.51204,0.5745735208410359,0.348,147.7827,147.8319,"Jul 18, 17",146.3942,146.9161,17868792,17868792,147.1478
2017-07-19,0.925612,0.5844354684904594,0.626,148.7083,149.1022,"Jul 19, 17",147.6547,148.1765,20922969,20922969,148.5185
2017-07-20,-0.669591,0.5773011122393207,-0.45,148.0387,149.4173,"Jul 20, 17",147.891,149.1809,17243748,17243748,148.4398
2017-07-21,-0.068928,0.5765670065856415,-0.047,147.9698,148.1372,"Jul 21, 17",146.601,147.694,26252630,26252630,147.6264
2017-07-24,1.7921,0.5956612118390252,1.211,149.7619,150.1065,"Jul 24, 17",147.6054,148.275,21493160,21493160,149.2493
2017-07-25,0.640051,0.6024801903347374,0.427,150.4019,151.4851,"Jul 25, 17",149.4763,149.4763,18853932,18853932,150.7931
2017-07-26,0.708977,0.6100343399495182,0.471,151.1109,151.5737,"Jul 26, 17",150.7171,151.0026,15780951,15780951,151.1518
2017-07-27,-2.8556,0.5796089102739632,-1.89,148.2553,151.6328,"Jul 27, 17",145.0452,151.3965,32476337,32476337,148.6655
2017-07-28,-1.0438,0.5684875825336128,-0.704,147.2115,147.9304,"Jul 28, 17",146.9063,147.5956,17213653,17213653,147.4073
2017-07-31,-0.758214,0.5604092239469741,-0.515,146.4533,148.0288,"Jul 31, 17",145.8625,147.6054,19845920,19845920,146.6263
2017-08-01,9.7091,0.6638563241230953,6.629,156.1624,156.4873,"Aug 1, 17",154.2719,154.6558,21194042,21194042,155.5633
2017-08-02,-1.4278,0.6486436092853178,-0.914,154.7346,157.3046,"Aug 2, 17",153.7696,156.8418,69936800,69936800,155.4037
2017-08-03,-1.546,0.6321715143566135,-0.999,153.1886,154.8035,"Aug 3, 17",152.647,154.646,27097296,27097296,153.525
2017-08-04,0.807447,0.6407751473805002,0.527,153.9961,154.9906,"Aug 4, 17",153.3068,153.681,20559852,20559852,154.0417
